domain,variant,benchmark,metric,score,score_percent,status,result_file
medical,target,mmlu_professional_medicine,"acc,none",0.39338235294117646,39.338235294117645,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
thai,aci_attention_circuit_beta0.01,xcopa_th,"acc,none",0.58,57.99999999999999,complete,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T21-49-10.263640.json
thai,aci_attention_circuit_beta0.01,xquad_th,"f1,none",0.24734717834787526,24.734717834787524,complete,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T21-49-10.263640.json
thai,aci_attention_circuit_beta0.01,xnli_th,"acc,none",0.45180722891566266,45.18072289156627,complete,evaluation_results/aci_safe/thai/aci_attention_circuit_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_circuit_beta0.01__fused_model/results_2026-07-21T21-49-10.263640.json
thai,aci_ffn_safe_beta0.01,xcopa_th,"acc,none",0.582,58.199999999999996,complete,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T21-35-46.091773.json
thai,aci_ffn_safe_beta0.01,xquad_th,"f1,none",0.2459564652052559,24.59564652052559,complete,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T21-35-46.091773.json
thai,aci_ffn_safe_beta0.01,xnli_th,"acc,none",0.45220883534136547,45.22088353413655,complete,evaluation_results/aci_safe/thai/aci_ffn_safe_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_safe_beta0.01__fused_model/results_2026-07-21T21-35-46.091773.json
thai,aci_safe_combined_beta0.01,xcopa_th,"acc,none",0.582,58.199999999999996,complete,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T21-50-49.538642.json
thai,aci_safe_combined_beta0.01,xquad_th,"f1,none",0.2423027233026262,24.23027233026262,complete,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T21-50-49.538642.json
thai,aci_safe_combined_beta0.01,xnli_th,"acc,none",0.45220883534136547,45.22088353413655,complete,evaluation_results/aci_safe/thai/aci_safe_combined_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_safe_combined_beta0.01__fused_model/results_2026-07-21T21-50-49.538642.json
thai,target,xcopa_th,"acc,none",0.58,57.99999999999999,complete,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T21-36-29.629898.json
thai,target,xquad_th,"f1,none",0.24927247928843863,24.92724792884386,complete,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T21-36-29.629898.json
thai,target,xnli_th,"acc,none",0.45180722891566266,45.18072289156627,complete,evaluation_results/aci_safe/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T21-36-29.629898.json
