domain,variant,fusion_mode,beta,benchmark,metric,score,score_percent,sample_count,result_file
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,medmcqa,"acc,none",0.3643318192684676,36.43318192684676,4183,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_clinical_knowledge,"acc,none",0.4339622641509434,43.39622641509434,265,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_college_biology,"acc,none",0.4097222222222222,40.97222222222222,144,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_college_medicine,"acc,none",0.34104046242774566,34.104046242774565,173,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_medical_genetics,"acc,none",0.5,50.0,100,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_professional_medicine,"acc,none",0.4117647058823529,41.17647058823529,272,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,medqa_4options,"acc,none",0.3770620581304006,37.706205813040064,1273,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_anatomy,"acc,none",0.5111111111111111,51.11111111111111,135,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,medmcqa,"acc,none",0.36457088214200334,36.45708821420033,4183,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_clinical_knowledge,"acc,none",0.44150943396226416,44.15094339622642,265,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_college_biology,"acc,none",0.3958333333333333,39.58333333333333,144,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_college_medicine,"acc,none",0.30057803468208094,30.057803468208093,173,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_medical_genetics,"acc,none",0.5,50.0,100,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_attention_circuit_beta0.03,attention_circuit,0.03,mmlu_professional_medicine,"acc,none",0.39705882352941174,39.705882352941174,272,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T22-26-31.623297.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,medqa_4options,"acc,none",0.3692065985860173,36.92065985860173,1273,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
medical,aci_safe_combined_beta0.03,safe_combined,0.03,mmlu_anatomy,"acc,none",0.48148148148148145,48.148148148148145,135,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T22-26-43.520047.json
